dataset,baseline,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,RandomForest,mcc,0.6843677480,0.0009544124,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6838782767671416, 0.6845188990371802, 0.6846753473927102, 0.6847476658172954, 0.6860652835734475, 0.683643333569104, 0.6848142462900523, 0.6842600861591797, 0.6823753463228195, 0.6846989952878416]"
unsw,RandomForest,log_loss,0.8607861615,0.0285470317,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8774196093215201, 0.7866279004378317, 0.8764673646178562, 0.85184133021074, 0.8719646476953598, 0.8780325930910835, 0.8661132760787634, 0.8500097911367706, 0.8864969180901462, 0.8628881843453945]"
unsw,RandomForest,macro_roc_auc_ovr,0.9457785262,0.0007592431,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9445087514744351, 0.9454357531398729, 0.9460475395351908, 0.9457109726948028, 0.9454350097121725, 0.9468786489737877, 0.9456767214128423, 0.9466858875421295, 0.9449258321602482, 0.9464801449698129]"
unsw,RandomForest,macro_pr_auc_ovr,0.5280432962,0.0021881909,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5272361956856907, 0.5276614714800922, 0.5289834771071933, 0.5276827118186882, 0.532529927346498, 0.5304714783915792, 0.5275498155732603, 0.5273223608886536, 0.5246220449437646, 0.5263734783004498]"
unsw,RandomForest,attack_pr_auc,0.9841083471,0.0002892988,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9839938014913354, 0.9840716998126117, 0.9841444530039951, 0.9843941355306268, 0.9835691823885373, 0.9840739363781906, 0.9843138429370322, 0.9844873226584232, 0.9843017832931165, 0.9837333134019901]"
unsw,RandomForest,default_attack_recall,0.9762287126,0.0005631962,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9761757698755846, 0.9755581046501368, 0.9769257919350569, 0.9760213535692226, 0.9770140298244065, 0.9769257919350569, 0.9760654725138974, 0.9757566399011736, 0.9763301861819466, 0.9755139857054619]"
unsw,RandomForest,false_alerts_per_10000_benign,2416.4324324324,16.5666832992,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2417.5675675675675, 2405.675675675676, 2429.189189189189, 2404.5945945945946, 2400.810810810811, 2441.3513513513512, 2404.864864864865, 2421.891891891892, 2441.6216216216217, 2396.7567567567567]"
unsw,RandomForest,attack_recall_at_validation_1pct_fpr,0.8820877085,0.0082470229,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.8748786729021442, 0.892085061325333, 0.8642680667078444, 0.8865260742963028, 0.8785405453101561, 0.8847613165093091, 0.8824450719138798, 0.8922174181593576, 0.882665666637254, 0.8824891908585547]"
unsw,RandomForest,attack_precision_at_validation_1pct_fpr,0.9632080528,0.0041694488,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9677891654465594, 0.9571824185187815, 0.9717736934791775, 0.9615734315930516, 0.9647303909694298, 0.9628847169539541, 0.9620731120731121, 0.9602792089080937, 0.9638203059135252, 0.9599740839392412]"
unsw,RandomForest,test_fpr_at_validation_1pct_fpr,0.0413378378,0.0051721167,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.03567567567567568, 0.048891891891891893, 0.030756756756756758, 0.043405405405405405, 0.03935135135135135, 0.041783783783783786, 0.04262162162162162, 0.045216216216216215, 0.040594594594594594, 0.04508108108108108]"
