dataset,variant,metric,mean,sample_sd,seed_ids_json,seed_values_json
unsw,random_over,weighted_f1,0.7752941342,0.0007572813,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7752713822286702, 0.7770236373265437, 0.775722414407636, 0.774983565960069, 0.7749028433357514, 0.7748419160239504, 0.7755192873882799, 0.7755586592575274, 0.7749650457004963, 0.7741525898759185]"
unsw,random_over,mcc,0.6652505640,0.0010048872,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6649990708669941, 0.6661793389277274, 0.6671163732169485, 0.6645876893474514, 0.6644424413555862, 0.6653081246501936, 0.6652321732793282, 0.6654194048797859, 0.6657803647020151, 0.6634406588983276]"
unsw,random_over,log_loss,0.6130870509,0.0023125741,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.6133022236177301, 0.6129647065221873, 0.6101032025885396, 0.6146301962159185, 0.6148692475771708, 0.6143405426405978, 0.6087350210095895, 0.6113004050813802, 0.6152874340437406, 0.6153375301639586]"
unsw,random_over,macro_roc_auc_ovr,0.9610366220,0.0002707511,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9610731315522921, 0.9612916953972359, 0.9613519194579212, 0.9608586290589439, 0.9609406131034379, 0.9611083922209624, 0.9611026078510043, 0.9604227611448204, 0.9609402157395287, 0.9612762549486661]"
unsw,random_over,macro_pr_auc_ovr,0.5750666951,0.0030889768,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.57384566142892, 0.5701028041163398, 0.5796704435817434, 0.5746115205822374, 0.576100511551615, 0.5751322900371407, 0.5765628281312133, 0.5786595893895623, 0.5703922982369581, 0.57558900437171]"
unsw,random_over,attack_pr_auc,0.9867041212,0.0002057042,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9868440910113778, 0.9869238891511419, 0.9871131074606773, 0.9864926124952589, 0.9866328676565391, 0.9867482002777733, 0.986623544357661, 0.9864412818545756, 0.9865893467107412, 0.9866322708899453]"
unsw,random_over,default_attack_recall,0.9772478602,0.0008849610,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.977609635577517, 0.9772566840201182, 0.9793302744198359, 0.9769478514073944, 0.9774552192711551, 0.9777861113562164, 0.9765948998499956, 0.9764184240712962, 0.9766831377393452, 0.9763963645989588]"
unsw,random_over,false_alerts_per_10000_benign,2650.8378378378,11.4937797019,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[2653.5135135135133, 2635.4054054054054, 2665.135135135135, 2660.810810810811, 2660.0, 2661.6216216216217, 2635.945945945946, 2647.5675675675675, 2636.4864864864867, 2651.891891891892]"
unsw,random_over,attack_recall_at_validation_1pct_fpr,0.9083384805,0.0033782745,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9014382775963999, 0.9121591811523868, 0.9071075619871173, 0.9099532339186447, 0.9105929586164299, 0.9039530574428659, 0.9076811082678903, 0.9102620665313685, 0.9110120885908409, 0.9092252713315098]"
unsw,random_over,attack_precision_at_validation_1pct_fpr,0.9564225418,0.0047654021,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.9665318479623454, 0.9524577325286774, 0.9587326012450165, 0.9534265572633769, 0.9536780334534701, 0.9622185173879353, 0.9571963616907437, 0.9526931868030384, 0.9529061584254367, 0.9543844212378725]"
unsw,random_over,test_fpr_at_validation_1pct_fpr,0.0507513514,0.0059323185,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.03824324324324324, 0.055783783783783784, 0.047837837837837835, 0.05445945945945946, 0.05418918918918919, 0.04348648648648649, 0.04972972972972973, 0.055378378378378376, 0.05516216216216216, 0.05324324324324324]"
unsw,random_over,threshold_false_alerts_per_10000_benign,507.5135135135,59.3231853612,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[382.43243243243245, 557.8378378378378, 478.3783783783784, 544.5945945945946, 541.8918918918919, 434.86486486486484, 497.2972972972973, 553.7837837837837, 551.6216216216217, 532.4324324324324]"
unsw,smotenc,accuracy,0.7560268182,0.0012911673,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.7551498809697323, 0.7586114754894816, 0.7565102268862653, 0.7565952485060486, 0.7551498809697323, 0.7574454647038819, 0.7558543458193655, 0.7555021133945489, 0.7542146431521158, 0.7552349025895156]"
unsw,smotenc,balanced_accuracy,0.5712128827,0.0077117950,"[42, 123, 456, 789, 1001, 2024, 31415, 65537, 77777, 99991]","[0.5714462281395175, 0.5662930313572707, 0.558025639263884, 0.5659912345991155, 0.564785991198366, 0.5761971215963257, 0.5786608666293872, 0.5769876831420078, 0.5701313884792563, 0.5836096429318514]"
